,Rooms,Furnishing,Bathroom,Tenant Preferred,Availability,Carpet Area,Floor,Price
0,"1 BHK Flat for Rent in Wagholi, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area584 sqft,Floor4 out of 10,"₹18,000"
1,"2 BHK Flat for Rent in Manjri, Manjri Budruk, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor6 out of 12,"₹20,000"
2,"2 BHK Flat for Rent in Adarsh Colony Tingre Nagar, Pune",FurnishingFurnished,Bathroom2,,AvailabilityFrom Apr '25,Carpet Area900 sqft,Floor5 out of 5,"₹30,000"
3,"2 BHK Flat for Rent in Wagholi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor5 out of 7,"₹28,000"
4,"2 BHK Flat for Rent in Aundh, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,,Floor1 out of 3,"₹25,000"
5,"2 BHK Flat for Rent in Wakad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,,Floor6 out of 11,"₹25,000"
6,"3 BHK Flat for Rent in Prabhat Road, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1100 sqft,Floor4 out of 5,₹2.3 Lac
7,"1 BHK Flat for Rent in Model Colony, Shivaji Nagar, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area550 sqft,Floor2 out of 15,"₹10,000"
8,1 BHK Flat for Rent in Pune,FurnishingUnfurnished,Bathroom1,,AvailabilityFrom Mar '25,,Floor1 out of 3,"₹15,000"
9,"4 BHK Flat for Rent in Prabhat Road, Pune",FurnishingUnfurnished,Bathroom4,,AvailabilityImmediately,Carpet Area1825 sqft,Floor3 out of 6,₹1.6 Lac
10,"3 BHK Flat for Rent in Marunji, Hinjawadi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area950 sqft,Floor5 out of 8,"₹17,000"
11,"2 BHK Flat for Rent in Koregaon Park, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor5 out of 6,"₹45,000"
12,"1 BHK Flat for Rent in Wakad, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,,Floor7 out of 20,"₹21,000"
13,"3 BHK Flat for Rent in Balewadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1560 sqft,Floor13 out of 21,"₹62,000"
14,"1 BHK Flat for Rent in Ram Nagar Tathawade, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area495 sqft,Floor7 out of 11,"₹21,000"
15,"2 BHK Flat for Rent in Marunji, Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor8 out of 8,"₹12,000"
16,"1 BHK Flat for Rent in Pimple Saudagar, Pimpri Chinchwad, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area600 sqft,Floor3 out of 4,"₹19,000"
17,"1 BHK Flat for Rent in Pashan, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area535 sqft,FloorUpper Basement out of 4,"₹15,500"
18,"1 BHK Flat for Rent in Kothrud, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,,Floor2 out of 3,"₹8,500"
19,"2 BHK Flat for Rent in Punawale, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area700 sqft,Floor13 out of 13,"₹21,000"
20,"3 BHK Flat for Rent in Gahunje, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area536 sqft,Floor1 out of 4,"₹10,000"
21,"2 BHK Flat for Rent in Wakad, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor6 out of 9,"₹27,000"
22,"2 BHK Flat for Rent in Chikhali Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area603 sqft,Floor6 out of 7,"₹15,000"
23,"1 BHK Flat for Rent in Loni Kalbhor, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area500 sqft,Floor10 out of 11,"₹12,500"
24,"1 BHK Flat for Rent in Kothrud, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area450 sqft,Floor3 out of 3,"₹18,500"
25,"2 BHK Flat for Rent in Wakad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area700 sqft,Floor19 out of 20,"₹37,000"
26,"3 BHK Flat for Rent in Pimpri Chinchwad, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1500 sqft,Floor4 out of 6,"₹45,000"
27,"2 BHK Flat for Rent in Wadgaon Sheri, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1086 sqft,Floor2 out of 6,"₹45,000"
28,"2 BHK Flat for Rent in Wakadewadi, Shivaji Nagar, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor11 out of 11,"₹32,000"
29,"2 BHK Flat for Rent in Ambegaon, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor4 out of 5,"₹13,500"
30,"2 BHK Flat for Rent in NIBM Road, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area830 sqft,Floor12 out of 20,"₹32,000"
31,"Studio Apartment for Rent in Karvenagar, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor3 out of 8,"₹15,000"
32,"2 BHK Flat for Rent in Shewalewadi, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,FloorUpper Basement out of 6,"₹7,000"
33,"3 BHK Flat for Rent in Balewadi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area950 sqft,Floor5 out of 9,"₹35,000"
34,"2 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area750 sqft,Floor9 out of 22,"₹29,000"
35,"1 BHK Flat for Rent in Hinjawadi, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area458 sqft,Floor5 out of 13,"₹22,000"
36,"1 BHK Flat for Rent in Narhe, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor3 out of 5,"₹8,000"
37,"2 BHK Flat for Rent in Kaspate Wasti, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor9 out of 12,"₹30,000"
38,"3 BHK Flat for Rent in Koregaon Park, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1300 sqft,Floor4 out of 12,"₹50,000"
39,"1 BHK Flat for Rent in Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,FloorGround out of 3,"₹12,000"
40,"2 BHK Flat for Rent in Punvale Bazar, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,FloorLower Basement out of 6,"₹23,000"
41,"3 BHK Flat for Rent in Pashan, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1100 sqft,Floor9 out of 11,"₹35,000"
42,"2 BHK Flat for Rent in Rambaug Colony, Kothrud, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area850 sqft,Floor3 out of 4,"₹28,000"
43,"3 BHK Flat for Rent in Dhanori, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor4 out of 11,"₹26,000"
44,"3 BHK Flat for Rent in Koregaon Park, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1450 sqft,Floor5 out of 7,"₹70,000"
45,"3 BHK Flat for Rent in Nigdi, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1210 sqft,Floor9 out of 13,"₹35,000"
46,"1 BHK Flat for Rent in Kondhwa, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,,Floor14 out of 15,"₹11,000"
47,"2 BHK Flat for Rent in Bharati Vidyapeeth Campus, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area820 sqft,Floor4 out of 7,"₹20,000"
48,"2 BHK Flat for Rent in Kharadi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,,Floor2 out of 20,"₹45,000"
49,"2 BHK Flat for Rent in Bavdhan, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor5 out of 5,"₹23,000"
50,"3 BHK Flat for Rent in Hadapsar, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1250 sqft,Floor9 out of 28,"₹55,000"
51,"3 BHK Flat for Rent in Kiwale, Dehu Road, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1030 sqft,Floor7 out of 12,"₹27,000"
52,"4 BHK Flat for Rent in Kiwale, Dehu Road, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1600 sqft,Floor6 out of 12,"₹38,000"
53,"2 BHK Flat for Rent in Choudhary Park Shankar Kalat Nagar, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area766 sqft,Floor12 out of 13,"₹32,000"
54,"3 BHK Flat for Rent in Charholi BK, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area985 sqft,Floor9 out of 16,"₹26,000"
55,"2 BHK Flat for Rent in Punawale, Pimpri Chinchwad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area732 sqft,Floor9 out of 14,"₹21,000"
56,"1 BHK Flat for Rent in Bibwewadi, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area650 sqft,Floor2 out of 5,"₹16,000"
57,"2 BHK Flat for Rent in Bhosale Nagar, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1100 sqft,Floor3 out of 6,"₹40,000"
58,"2 BHK Flat for Rent in EON Free Zone, Kharadi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area850 sqft,Floor4 out of 9,"₹34,000"
59,"2 BHK Flat for Rent in Aundh, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area950 sqft,Floor5 out of 6,"₹36,000"
60,"4 BHK Flat for Rent in Kharadi, Pune",FurnishingFurnished,Bathroom4,,AvailabilityImmediately,Carpet Area3500 sqft,Floor20 out of 27,₹2.5 Lac
61,1 BHK Flat for Rent in Pune,FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area730 sqft,Floor6 out of 6,"₹22,000"
62,"2 BHK Flat for Rent in Hadapsar, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area840 sqft,Floor4 out of 9,"₹35,000"
63,1 BHK Flat for Rent in Pune,FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area380 sqft,Floor4 out of 4,"₹15,500"
64,"3 BHK Flat for Rent in Sus, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1000 sqft,Floor2 out of 11,"₹26,000"
65,"4 BHK Flat for Rent in Hadapsar, Pune",FurnishingSemi-Furnished,Bathroom4,,AvailabilityImmediately,Carpet Area3500 sqft,Floor4 out of 10,₹1 Lac
66,"4 BHK Flat for Rent in Mohamadwadi Settlement, Pune",FurnishingFurnished,Bathroom4,,AvailabilityImmediately,,Floor4 out of 4,"₹90,000"
67,"2 BHK Flat for Rent in Moshi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,,FloorGround out of 6,"₹20,000"
68,"2 BHK Flat for Rent in Undri, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor7 out of 11,"₹21,000"
69,"2 BHK Flat for Rent in Aundh, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area950 sqft,Floor3 out of 6,"₹28,000"
70,"2 BHK Flat for Rent in Kharadi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,,Floor10 out of 11,"₹50,000"
71,"2 BHK Flat for Rent in Viman Nagar, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area814 sqft,Floor3 out of 6,"₹45,000"
72,"1 BHK Flat for Rent in EON Free Zone, Kharadi, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area447 sqft,Floor8 out of 22,"₹20,000"
73,"2 BHK Flat for Rent in Karvenagar, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area1000 sqft,Floor5 out of 6,"₹22,000"
74,"4 BHK Flat for Rent in Bavdhan, Pune",FurnishingSemi-Furnished,Bathroom5,,AvailabilityImmediately,Carpet Area2100 sqft,Floor11 out of 12,"₹85,000"
75,"2 BHK Flat for Rent in Mahalunge, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area650 sqft,Floor6 out of 21,"₹28,000"
76,"2 BHK Flat for Rent in Ravet, Pimpri Chinchwad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor5 out of 18,"₹23,000"
77,"2 BHK Flat for Rent in Kalyani Nagar, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area778 sqft,Floor4 out of 12,"₹38,000"
78,"3 BHK Flat for Rent in Koregaon Park, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1300 sqft,Floor7 out of 12,"₹55,000"
79,"2 BHK Flat for Rent in Wakad, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor11 out of 11,"₹35,000"
80,"2 BHK Flat for Rent in Wakad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,,Floor4 out of 7,"₹26,000"
81,"2 BHK Flat for Rent in Pimpri Chinchwad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,,Floor2 out of 6,"₹22,000"
82,"1 BHK Flat for Rent in Undri, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area495 sqft,Floor1 out of 11,"₹10,500"
83,"2 BHK Flat for Rent in Balewadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area785 sqft,Floor4 out of 16,"₹31,999"
84,"2 BHK Flat for Rent in Wakad, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area744 sqft,Floor13 out of 14,"₹32,000"
85,"2 BHK Flat for Rent in NIBM Annexe Area, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area850 sqft,Floor5 out of 10,"₹23,000"
86,"3 BHK Flat for Rent in Keshav Nagar Mundhwa, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area800 sqft,Floor7 out of 13,"₹33,999"
87,"2 BHK Flat for Rent in Karve Road, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area805 sqft,Floor3 out of 4,"₹20,000"
88,"1 BHK Flat for Rent in Wagholi, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area489 sqft,Floor2 out of 13,"₹14,000"
89,"3 BHK Flat for Rent in Balewadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1550 sqft,Floor13 out of 21,"₹70,000"
90,"2 BHK Flat for Rent in Hadapsar, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area750 sqft,Floor10 out of 22,"₹28,000"
91,"3 BHK Flat for Rent in Mahalunge, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area961 sqft,Floor19 out of 22,"₹32,000"
92,"3 BHK Flat for Rent in Pimple Saudagar, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1180 sqft,Floor4 out of 7,"₹32,000"
93,"2 BHK Flat for Rent in Amanora Park Town, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area799 sqft,Floor32 out of 33,"₹45,000"
94,"3 BHK Flat for Rent in Mahalunge, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1120 sqft,Floor11 out of 23,"₹35,000"
95,"Studio Apartment for Rent in Wadgaon Sheri, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area250 sqft,Floor9 out of 14,"₹15,000"
96,"3 BHK Flat for Rent in Katraj Kondhwa Road, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1200 sqft,Floor15 out of 16,"₹25,000"
97,"3 BHK Flat for Rent in Baner, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1500 sqft,Floor3 out of 10,"₹37,000"
98,"2 BHK Flat for Rent in Kalyani Nagar, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area950 sqft,Floor5 out of 9,"₹53,000"
99,"2 BHK Flat for Rent in Koregaon Park, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area950 sqft,Floor2 out of 3,"₹35,000"
100,"3 BHK Flat for Rent in Hadapsar, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1200 sqft,Floor3 out of 11,"₹43,000"
101,"3 BHK Flat for Rent in Hinjawadi, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,,Floor22 out of 25,"₹30,000"
102,"1 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area400 sqft,Floor2 out of 4,"₹7,800"
103,"2 BHK Flat for Rent in Hadapsar, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1150 sqft,Floor5 out of 12,"₹41,000"
104,"1 BHK Flat for Rent in Narayan Peth, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area520 sqft,Floor4 out of 5,"₹22,000"
105,"3 BHK Flat for Rent in Koregaon Park, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1400 sqft,Floor5 out of 9,"₹60,000"
106,"1 BHK Flat for Rent in Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityFrom Mar '25,Carpet Area450 sqft,Floor10 out of 14,"₹21,500"
107,"1 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area451 sqft,Floor10 out of 21,"₹16,500"
108,"2 BHK Flat for Rent in Kharadi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area1050 sqft,Floor4 out of 17,"₹40,000"
109,"3 BHK Flat for Rent in Undri, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityFrom Mar '25,Carpet Area1100 sqft,Floor4 out of 12,"₹21,000"
110,"3 BHK Flat for Rent in Hills and Dales, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1350 sqft,Floor14 out of 15,"₹35,000"
111,"2 BHK Flat for Rent in Kothrud, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area852 sqft,Floor3 out of 9,"₹35,000"
112,"2 BHK Flat for Rent in Kharadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area950 sqft,Floor5 out of 12,"₹35,000"
113,"2 BHK Flat for Rent in Kiwale, Dehu Road, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area700 sqft,Floor2 out of 3,"₹23,000"
114,"2 BHK Flat for Rent in Baner Pashan Link Road, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor5 out of 11,"₹44,000"
115,"2 BHK Flat for Rent in Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor4 out of 20,"₹16,000"
116,"2 BHK Flat for Rent in Baner, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor7 out of 11,"₹24,000"
117,"2 BHK Flat for Rent in Sangamvadi, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor3 out of 3,"₹32,000"
118,"2 BHK Flat for Rent in Charholi BK, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor16 out of 22,"₹20,000"
119,3 BHK Flat for Rent in Pune,FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1200 sqft,Floor4 out of 11,"₹55,000"
120,"1 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area510 sqft,Floor5 out of 14,"₹19,500"
121,"2 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area880 sqft,Floor5 out of 10,"₹25,000"
122,"2 BHK Flat for Rent in Balewadi Phata, Baner, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area825 sqft,Floor9 out of 12,"₹35,000"
123,"2 BHK Flat for Rent in Bibwewadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor5 out of 11,"₹35,000"
124,"2 BHK Flat for Rent in Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area665 sqft,Floor4 out of 14,"₹24,000"
125,"3 BHK Flat for Rent in Sus, Pune",FurnishingSemi-Furnished,Bathroom4,,AvailabilityImmediately,,Floor12 out of 12,"₹28,000"
126,"2 BHK Flat for Rent in Koregaon Park, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor4 out of 9,"₹42,000"
127,"3 BHK Flat for Rent in Tukaram Nagar Kharadi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area1228 sqft,Floor9 out of 11,"₹40,000"
128,"2 BHK Flat for Rent in Dorabjee Paradise, Mohammed Wadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area850 sqft,Floor7 out of 12,"₹27,000"
129,1 BHK Flat for Rent in Pune,FurnishingFurnished,Bathroom1,,AvailabilityImmediately,,Floor4 out of 4,"₹20,000"
130,"2 BHK Flat for Rent in Bund Garden Road, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area905 sqft,Floor1 out of 4,"₹60,000"
131,"2 BHK Flat for Rent in Pimple Nilakh, Pimpri Chinchwad, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor7 out of 10,"₹43,000"
132,"3 BHK Flat for Rent in Koregaon Park, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,,Floor2 out of 13,₹1 Lac
133,"2 BHK Flat for Rent in Dhankawadi, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area700 sqft,Floor3 out of 7,"₹25,000"
134,"1 BHK Flat for Rent in Dattawadi, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area550 sqft,Floor1 out of 5,"₹16,000"
135,"2 BHK Flat for Rent in Lohegaon, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor2 out of 10,"₹19,000"
136,"2 BHK Flat for Rent in Bavdhan, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,,Floor6 out of 12,"₹25,000"
137,"2 BHK Flat for Rent in Lohegaon, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area850 sqft,Floor4 out of 6,"₹22,000"
138,"2 BHK Flat for Rent in Vishrantwadi, Airport Road, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area940 sqft,Floor9 out of 11,"₹28,000"
139,"2 BHK Flat for Rent in Balewadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor12 out of 21,"₹35,000"
140,"1 BHK Flat for Rent in Ambegaon BK, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area550 sqft,Floor4 out of 5,"₹9,000"
141,"3 BHK Flat for Rent in Koregaon Park, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1400 sqft,Floor5 out of 10,"₹65,000"
142,"3 BHK Flat for Rent in Kalyani Nagar, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1300 sqft,Floor2 out of 12,"₹67,000"
143,"1 BHK Flat for Rent in Kondhwa, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area600 sqft,Floor10 out of 11,"₹12,000"
144,"2 BHK Flat for Rent in Kothrud, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area850 sqft,Floor2 out of 7,"₹31,000"
145,"3 BHK Flat for Rent in Magarpatta, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1650 sqft,Floor5 out of 11,"₹51,000"
146,"2 BHK Flat for Rent in Rakshak Nagar, Kharadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1255 sqft,Floor15 out of 20,"₹40,000"
147,"2 BHK Flat for Rent in Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area850 sqft,Floor8 out of 17,"₹27,000"
148,"1 BHK Flat for Rent in Magarpatta, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area460 sqft,Floor5 out of 6,"₹29,000"
