,Rooms,Furnishing,Bathroom,Tenant Preferred,Availability,Carpet Area,Floor,Price
149,"1 BHK Flat for Rent in Talegaon Dabhade, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area576 sqft,Floor6 out of 8,"₹8,000"
150,"2 BHK Flat for Rent in Kalyani Nagar, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor8 out of 11,"₹29,000"
151,"2 BHK Flat for Rent in EON Free Zone, Kharadi, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area950 sqft,Floor9 out of 16,"₹45,000"
152,"2 BHK Flat for Rent in Ravet, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityFrom Mar '25,Carpet Area700 sqft,Floor3 out of 18,"₹23,000"
153,"Studio Apartment for Rent in Kharadi, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area270 sqft,Floor5 out of 16,"₹19,000"
154,"1 BHK Flat for Rent in Ambegaon, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area500 sqft,Floor5 out of 11,"₹12,000"
155,"1 BHK Flat for Rent in Ambegaon BK, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area450 sqft,Floor5 out of 11,"₹14,000"
156,"3 BHK Flat for Rent in Mundhwa, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor2 out of 11,"₹80,000"
157,"2 BHK Flat for Rent in Loni Kalbhor, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor5 out of 10,"₹13,000"
158,"3 BHK Flat for Rent in Vitthal Nagar Kharadi, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1870 sqft,Floor18 out of 32,"₹80,000"
159,"3 BHK Flat for Rent in EON Free Zone, Kharadi, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1680 sqft,Floor5 out of 10,"₹55,000"
160,"2 BHK Flat for Rent in Baner, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor4 out of 6,"₹36,000"
161,"2 BHK Flat for Rent in Kalyani Nagar, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityFrom Mar '25,Carpet Area980 sqft,Floor3 out of 10,"₹40,000"
162,"1 BHK Flat for Rent in Sadashiv Peth, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area500 sqft,Floor2 out of 5,"₹15,000"
163,"2 BHK Flat for Rent in Hadapsar, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area956 sqft,Floor2 out of 9,"₹34,000"
164,"3 BHK Flat for Rent in Kalyani Nagar, Pune",FurnishingUnfurnished,Bathroom4,,AvailabilityImmediately,,Floor2 out of 11,"₹75,000"
165,"2 BHK Flat for Rent in Pimple Saudagar, Pimpri Chinchwad, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1151 sqft,Floor5 out of 7,"₹30,000"
166,"1 BHK Flat for Rent in Wadgaon Sheri, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area660 sqft,Floor6 out of 6,"₹22,000"
167,"2 BHK Flat for Rent in Hadapsar, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area725 sqft,Floor12 out of 15,"₹18,000"
168,"2 BHK Flat for Rent in Mahalunge, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area720 sqft,FloorUpper Basement out of 14,"₹25,000"
169,"2 BHK Flat for Rent in EON Free Zone, Kharadi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area960 sqft,Floor7 out of 12,"₹43,000"
170,1 BHK Flat for Rent in Pune,FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area550 sqft,Floor4 out of 7,"₹17,000"
171,"3 BHK Flat for Rent in Kalyani Nagar, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,,Floor3 out of 11,"₹65,000"
172,"2 BHK Flat for Rent in Pimple Nilakh, Pimpri Chinchwad, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area880 sqft,Floor5 out of 7,"₹35,000"
173,"2 BHK Flat for Rent in Undri, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor8 out of 12,"₹19,000"
174,"2 BHK Flat for Rent in Pimple Saudagar Gaon, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area1250 sqft,Floor1 out of 1,"₹25,000"
175,"1 BHK Flat for Rent in Morwadi, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area720 sqft,Floor3 out of 4,"₹12,000"
176,"3 BHK Flat for Rent in Balewadi, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1200 sqft,Floor4 out of 14,"₹42,000"
177,"1 BHK Flat for Rent in Bavdhan, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area500 sqft,Floor7 out of 8,"₹25,000"
178,"3 BHK Flat for Rent in Lohegaon, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,,Floor5 out of 12,"₹25,000"
179,"2 BHK Flat for Rent in Chakan, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor12 out of 13,"₹12,000"
180,"1 BHK Flat for Rent in Chikali Road, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,,Floor4 out of 5,"₹5,000"
181,"2 BHK Flat for Rent in Baner, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area750 sqft,Floor8 out of 12,"₹32,000"
182,"1 BHK Flat for Rent in EON Free Zone, Kharadi, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area447 sqft,Floor8 out of 22,"₹15,000"
183,"2 BHK Flat for Rent in Balewadi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area1100 sqft,Floor4 out of 16,"₹43,000"
184,"2 BHK Flat for Rent in Moshi, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor2 out of 4,"₹13,000"
185,"2 BHK Flat for Rent in NIBM Annexe Area, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor6 out of 13,"₹19,000"
186,"1 BHK Flat for Rent in Ravet, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area430 sqft,Floor2 out of 20,"₹17,000"
187,"3 BHK Flat for Rent in Balewadi, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1560 sqft,Floor13 out of 17,"₹62,000"
188,"1 BHK Flat for Rent in Katraj, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area600 sqft,Floor5 out of 10,"₹10,000"
189,"2 BHK Flat for Rent in Kothrud, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area850 sqft,Floor3 out of 5,"₹23,000"
190,"4 BHK Flat for Rent in Baner, Pune",FurnishingUnfurnished,Bathroom4,,AvailabilityImmediately,Carpet Area2600 sqft,Floor5 out of 12,₹1.3 Lac
191,"2 BHK Flat for Rent in Viman Nagar, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor3 out of 7,"₹29,000"
192,"2 BHK Flat for Rent in Pimple Saudagar, Pimpri Chinchwad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityFrom Mar '25,,Floor5 out of 8,"₹28,000"
193,"2 BHK Flat for Rent in Warje, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area700 sqft,Floor2 out of 4,"₹23,000"
194,"1 BHK Flat for Rent in Varale Talegaon Dabhade, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,FloorGround out of 1,"₹6,000"
195,"2 BHK Flat for Rent in Wakad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityFrom Mar '25,Carpet Area800 sqft,Floor9 out of 13,"₹34,000"
196,"2 BHK Flat for Rent in Magarpatta, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,,Floor6 out of 6,"₹27,000"
197,"3 BHK Flat for Rent in Chakan, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor5 out of 13,"₹12,000"
198,"3 BHK Flat for Rent in EON Free Zone, Kharadi, Pune",FurnishingUnfurnished,Bathroom5,,AvailabilityImmediately,Carpet Area2200 sqft,Floor10 out of 32,"₹90,000"
199,"1 BHK Flat for Rent in Khese Wasti, Lohegaon, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,,Floor3 out of 7,"₹11,000"
200,"3 BHK Flat for Rent in Wadgaon BK, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1150 sqft,Floor5 out of 13,"₹23,000"
201,"2 BHK Flat for Rent in Karvenagar, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area850 sqft,Floor6 out of 8,"₹39,000"
202,"1 BHK Flat for Rent in Hadapsar, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area450 sqft,Floor4 out of 6,"₹13,000"
203,"2 BHK Flat for Rent in Kothrud, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor2 out of 4,"₹26,000"
204,"3 BHK Flat for Rent in Mundhwa, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1352 sqft,Floor2 out of 14,"₹55,000"
205,"3 BHK Flat for Rent in Magarpatta, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1250 sqft,Floor5 out of 11,"₹56,000"
206,"3 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,,Floor9 out of 21,"₹35,000"
207,"2 BHK Flat for Rent in Kharadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area985 sqft,Floor11 out of 12,"₹43,000"
208,"2 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area721 sqft,Floor10 out of 22,"₹30,000"
209,"1 BHK Flat for Rent in Dhankawadi, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area400 sqft,FloorGround out of 3,"₹5,000"
210,"1 BHK Flat for Rent in Pimple Nilakh, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area440 sqft,Floor5 out of 11,"₹20,000"
211,"2 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area700 sqft,Floor8 out of 21,"₹27,000"
212,"2 BHK Flat for Rent in Porwal Road, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area700 sqft,Floor3 out of 11,"₹16,000"
213,"2 BHK Flat for Rent in Baner, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor2 out of 5,"₹25,000"
214,"1 BHK Flat for Rent in Guru Nanak Nagar, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area375 sqft,FloorGround out of 3,"₹12,000"
215,"4 BHK Flat for Rent in Magarpatta, Pune",FurnishingFurnished,Bathroom4,,AvailabilityImmediately,,Floor10 out of 20,₹1.5 Lac
216,"1 BHK Flat for Rent in Undri, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area625 sqft,Floor1 out of 12,"₹14,500"
217,"1 BHK Flat for Rent in Hadapsar, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor1 out of 3,"₹7,000"
218,"1 BHK Flat for Rent in Pisoli, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,,Floor6 out of 12,"₹10,000"
219,"2 BHK Flat for Rent in Moshi, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor5 out of 7,"₹17,000"
220,"2 BHK Flat for Rent in Himali Society, Erandwane, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area980 sqft,Floor5 out of 6,"₹40,000"
221,"2 BHK Flat for Rent in Pimple Saudagar, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area750 sqft,Floor5 out of 7,"₹26,000"
222,"1 BHK Flat for Rent in Amanora Park Town, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area500 sqft,Floor10 out of 18,"₹25,000"
223,"2 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area830 sqft,Floor7 out of 22,"₹23,000"
224,"2 BHK Flat for Rent in Baner, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor6 out of 10,"₹28,000"
225,"1 BHK Flat for Rent in Viman Nagar, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area500 sqft,Floor1 out of 5,"₹18,000"
226,"2 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area730 sqft,Floor11 out of 22,"₹19,000"
227,"2 BHK Flat for Rent in Wakad, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area760 sqft,Floor3 out of 10,"₹28,000"
228,"1 BHK Flat for Rent in Mahalunge, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area750 sqft,Floor13 out of 23,"₹20,000"
229,"1 BHK Flat for Rent in Sainath Nagar Wadgaon Sheri, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area500 sqft,Floor3 out of 4,"₹16,000"
230,"4 BHK Flat for Rent in Wagholi, Pune",FurnishingFurnished,Bathroom4,,AvailabilityImmediately,Carpet Area1600 sqft,Floor6 out of 12,"₹44,000"
231,"2 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area700 sqft,Floor7 out of 22,"₹21,000"
232,"1 BHK Flat for Rent in Punawale, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor10 out of 12,"₹15,000"
233,"3 BHK Flat for Rent in Baner Gaon, Baner, Pune",FurnishingUnfurnished,Bathroom4,,AvailabilityImmediately,Carpet Area1800 sqft,Floor4 out of 20,"₹70,000"
234,"Studio Apartment for Rent in Pashan, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area370 sqft,Floor2 out of 4,"₹16,000"
235,"2 BHK Flat for Rent in Dhanori, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area750 sqft,Floor4 out of 10,"₹25,000"
236,"3 BHK Flat for Rent in Sus, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,,Floor9 out of 12,"₹45,000"
237,"3 BHK Flat for Rent in Balewadi, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1400 sqft,Floor8 out of 21,"₹75,000"
238,"2 BHK Flat for Rent in Wagholi, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor12 out of 12,"₹30,000"
239,"3 BHK Flat for Rent in Manjri, Manjri Budruk, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area890 sqft,Floor12 out of 22,"₹25,000"
240,"3 BHK Flat for Rent in Kaspate Wasti, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1300 sqft,Floor3 out of 6,"₹40,000"
241,"2 BHK Flat for Rent in Wagholi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area760 sqft,Floor6 out of 12,"₹23,000"
242,"2 BHK Flat for Rent in Salunkhe Vihar Society, Pune",FurnishingFurnished,Bathroom2,,AvailabilityFrom Mar '25,Carpet Area1150 sqft,Floor4 out of 5,"₹30,000"
243,"3 BHK Flat for Rent in Keshav Nagar Mundhwa, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,,Floor1 out of 5,"₹20,000"
244,"2 BHK Flat for Rent in Shirgaon, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor5 out of 11,"₹12,000"
245,"2 BHK Flat for Rent in Patil Nagar Balewadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area866 sqft,Floor7 out of 11,"₹25,000"
246,"1 BHK Flat for Rent in Sade Satra Nali, Hadapsar, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,,FloorGround out of 3,"₹6,000"
247,"4 BHK Flat for Rent in EON Free Zone, Kharadi, Pune",FurnishingSemi-Furnished,Bathroom4,,AvailabilityImmediately,Carpet Area3800 sqft,Floor7 out of 14,₹1.2 Lac
248,"3 BHK Flat for Rent in Kalyani Nagar, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1400 sqft,Floor8 out of 10,"₹66,000"
249,"4 BHK Flat for Rent in Baner, Pune",FurnishingFurnished,Bathroom4,,AvailabilityImmediately,Carpet Area2200 sqft,Floor14 out of 16,"₹90,000"
250,"2 BHK Flat for Rent in Talegaon Dabhade, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor5 out of 11,"₹7,500"
251,"4 BHK Flat for Rent in Baner, Pune",FurnishingUnfurnished,Bathroom5,,AvailabilityImmediately,Carpet Area3399 sqft,Floor15 out of 18,₹4.1 Lac
252,"Studio Apartment for Rent in Chakan, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor1 out of 4,"₹4,500"
253,"2 BHK Flat for Rent in Dhanori, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor3 out of 15,"₹40,000"
254,"1 BHK Flat for Rent in Manjari BK, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor3 out of 5,"₹6,000"
255,"3 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1100 sqft,Floor6 out of 22,"₹30,000"
256,"2 BHK Flat for Rent in Viman Nagar, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area980 sqft,Floor1 out of 7,"₹55,000"
257,"1 BHK Flat for Rent in Dhanori Road, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area490 sqft,FloorGround out of 3,"₹14,000"
258,"4 BHK Flat for Rent in NIBM Road, Pune",FurnishingSemi-Furnished,Bathroom5,,AvailabilityImmediately,Carpet Area2900 sqft,Floor5 out of 11,₹1.3 Lac
259,"3 BHK Flat for Rent in Hills and Dales, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1250 sqft,Floor10 out of 12,"₹35,000"
260,"2 BHK Flat for Rent in Punawale Road, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area740 sqft,Floor7 out of 14,"₹26,000"
261,"4 BHK Flat for Rent in Kharadi, Pune",FurnishingFurnished,Bathroom6,,AvailabilityImmediately,Carpet Area2200 sqft,Floor17 out of 32,₹1.8 Lac
262,"Studio Apartment for Rent in Kalyani Nagar, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area195 sqft,Floor11 out of 14,"₹20,000"
263,"2 BHK Flat for Rent in Hinjawadi Village, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor5 out of 13,"₹32,000"
264,"Apartment for Rent in Kharadi, Pune",,,,AvailabilityImmediately,,,Call for Price
265,"1 BHK Flat for Rent in Fatima Nagar Wanowrie, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor3 out of 4,"₹14,500"
266,"2 BHK Flat for Rent in Ideal Colony, Kothrud, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor3 out of 8,"₹37,000"
267,"2 BHK Flat for Rent in EON Free Zone, Kharadi, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area860 sqft,Floor5 out of 11,"₹40,000"
268,"3 BHK Flat for Rent in Shivajinagar, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1400 sqft,Floor2 out of 7,"₹75,000"
269,"1 BHK Flat for Rent in Bavdhan, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area580 sqft,Floor7 out of 8,"₹25,000"
270,"1 BHK Flat for Rent in Wakad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area500 sqft,Floor4 out of 11,"₹22,000"
271,"1 BHK Flat for Rent in Wagholi, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area584 sqft,Floor4 out of 10,"₹18,000"
272,"2 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area630 sqft,Floor10 out of 22,"₹20,000"
273,"2 BHK Flat for Rent in Pimple Saudagar, Pimpri Chinchwad, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area760 sqft,Floor7 out of 8,"₹30,000"
274,"2 BHK Flat for Rent in Balewadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1150 sqft,Floor10 out of 12,"₹35,000"
275,"1 BHK Flat for Rent in Gokhalenagar, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area560 sqft,Floor2 out of 3,"₹20,000"
276,"3 BHK Flat for Rent in Charholi BK, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1494 sqft,Floor7 out of 12,"₹36,000"
277,"1 BHK Flat for Rent in Fursungi, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area450 sqft,Floor9 out of 12,"₹15,000"
278,"3 BHK Flat for Rent in Sun City, Anand Nagar, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1200 sqft,Floor1 out of 13,"₹32,000"
279,"2 BHK Flat for Rent in Vishnu Dev Nagar Wakad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor1 out of 7,"₹25,500"
280,1 BHK Flat for Rent in Pune,FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area650 sqft,Floor4 out of 4,"₹5,000"
281,"2 BHK Flat for Rent in Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor12 out of 14,"₹30,000"
282,"3 BHK Flat for Rent in Chikhali Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area930 sqft,Floor5 out of 14,"₹22,000"
283,"2 BHK Flat for Rent in Baner, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area610 sqft,Floor7 out of 16,"₹28,000"
284,"1 BHK Flat for Rent in Wagholi, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor1 out of 4,"₹18,000"
285,"2 BHK Flat for Rent in Shankar Kalat Nagar, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area850 sqft,Floor4 out of 12,"₹26,000"
286,"2 BHK Flat for Rent in Moshi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor5 out of 11,"₹20,000"
287,"2 BHK Flat for Rent in Rakshak Nagar, Kharadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1250 sqft,Floor9 out of 20,"₹35,000"
288,"1 BHK Flat for Rent in Gahunje, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area510 sqft,Floor16 out of 23,"₹31,000"
289,"2 BHK Flat for Rent in Sun City, Anand Nagar, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area950 sqft,Floor4 out of 11,"₹32,000"
290,"2 BHK Flat for Rent in Amanora Park Town, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area750 sqft,Floor7 out of 22,"₹36,055"
291,"4 BHK Flat for Rent in Koregaon Park, Pune",FurnishingUnfurnished,Bathroom6,,AvailabilityImmediately,Carpet Area3000 sqft,Floor12 out of 22,₹3.3 Lac
292,"2 BHK Flat for Rent in Maan, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area720 sqft,Floor18 out of 22,"₹30,000"
293,"2 BHK Flat for Rent in Wakad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area850 sqft,Floor6 out of 11,"₹35,000"
294,"2 BHK Flat for Rent in Amanora Park Town, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area725 sqft,,"₹34,999"
295,"2 BHK Flat for Rent in Ravet, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area750 sqft,Floor5 out of 18,"₹23,500"
296,"1 BHK Flat for Rent in Wadgaon Sheri, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area600 sqft,Floor2 out of 8,"₹18,000"
297,"3 BHK Flat for Rent in Magarpatta, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1450 sqft,Floor4 out of 11,"₹45,000"
298,"1 BHK Flat for Rent in Keshav Nagar Mundhwa, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area500 sqft,Floor1 out of 5,"₹11,000"
